timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197857567,5,Update_SendCom,200,,sendComment Stepping Thread Group 2-8,text,true,,1568,336,14,15,http://localhost:8080/service/guestbook,5,0,0
1727197858565,5,Update_SendCom,200,,sendComment Stepping Thread Group 2-9,text,true,,1568,336,15,16,http://localhost:8080/service/guestbook,5,0,0
1727197858566,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-15,text,true,,22628,464,15,16,http://localhost:8080/index.html,7,0,1
1727197858566,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,22628,464,15,16,http://localhost:8080/index.html,7,0,1
1727197859566,5,Update_SendCom,200,,sendComment Stepping Thread Group 2-10,text,true,,1568,336,16,17,http://localhost:8080/service/guestbook,5,0,0
1727197859565,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-4,text,true,,22628,464,16,17,http://localhost:8080/index.html,7,0,1
1727197859566,7,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-16,text,true,,22628,464,16,17,http://localhost:8080/index.html,7,0,1
1727197860564,3,Update_SendCom,200,,sendComment Stepping Thread Group 2-11,text,true,,1568,336,17,18,http://localhost:8080/service/guestbook,3,0,0
1727197860565,4,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-17,text,true,,22628,464,17,18,http://localhost:8080/index.html,4,0,1
1727197860565,5,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-5,text,true,,22628,464,17,18,http://localhost:8080/index.html,5,0,1
1727197861564,4,Update_SendCom,200,,sendComment Stepping Thread Group 2-12,text,true,,1568,336,18,19,http://localhost:8080/service/guestbook,4,0,0
1727197861563,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-6,text,true,,22628,464,18,19,http://localhost:8080/index.html,6,0,2
1727197861566,5,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-18,text,true,,22628,464,18,19,http://localhost:8080/index.html,5,0,1
1727197862566,5,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-7,text,true,,22628,464,19,20,http://localhost:8080/index.html,5,0,0
1727197862565,6,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-19,text,true,,22628,464,19,20,http://localhost:8080/index.html,6,0,1
1727197862564,7,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-13,text,true,,6135,466,19,20,http://localhost:8080/clients.html,7,0,0
1727197862654,4,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-1,text,true,,6135,466,19,20,http://localhost:8080/clients.html,4,0,0
1727197863567,9,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-8,text,true,,22628,464,20,21,http://localhost:8080/index.html,9,0,1
1727197863566,10,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-20,text,true,,22628,464,20,21,http://localhost:8080/index.html,10,0,1
1727197863565,9,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-14,text,true,,6135,466,20,21,http://localhost:8080/clients.html,9,0,0
1727197863565,11,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-2,text,true,,6135,466,20,21,http://localhost:8080/clients.html,11,0,0
1727197864565,8,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-21,text,true,,22628,464,21,22,http://localhost:8080/index.html,8,0,1
1727197864565,11,GoToHome_SendCom,200,,sendComment Stepping Thread Group 2-9,text,true,,22628,464,21,22,http://localhost:8080/index.html,11,0,1
1727197864566,8,GoToClient_SendCom,200,,sendComment Stepping Thread Group 2-3,text,true,,6135,466,21,22,http://localhost:8080/clients.html,8,0,0
