timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1727197798148,2708,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197798148,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197799148,41174,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197799148,4692,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197799149,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197800149,41195,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197800149,5089,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197800149,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197801150,41157,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197801151,5166,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197801151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197802151,41192,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197802151,3366,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197802151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197803151,41147,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197803151,4838,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197803151,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197804151,41217,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197804151,3636,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197804152,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197805153,41174,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197805153,2851,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197805153,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197806154,41146,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197806154,2716,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197806155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197807155,41206,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197807155,4059,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197807155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197808155,41172,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197808155,2887,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197808155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197809155,41150,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197809155,4672,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197809155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197810155,41230,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197810155,4669,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197810155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197811155,41194,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197811155,3886,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197811155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197812155,41165,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197812155,3129,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197812155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197813155,41151,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197813155,3495,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197813155,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197814155,41191,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197814155,3233,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197814156,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197815156,41170,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197815156,3928,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197815156,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197816157,41126,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197816157,2203,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197816157,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197817158,41125,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197817158,2354,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197817158,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197818158,41214,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197818158,1158,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197818158,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197819158,41181,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197819158,2468,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197819158,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197820158,41151,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197820158,1810,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197820158,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197821158,41137,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197821158,2211,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197821158,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197822160,41185,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197822160,7356,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197822160,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197823160,41167,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197823160,4052,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197823160,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197824160,41210,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197824160,4928,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1727197824161,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1727197825161,41312,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1727197825161,10801,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
